MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022b (9.13.0.2049777) 64-bit (glnxa64)
                              August 24, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Number of jobs (multiplexed): 2
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to the parallel pool (number of workers: 12).
Job number 505 of 512 done! Time = 12.4765 s
Job number 506 of 512 done! Time = 12.4876 s
Job number 478 of 512 done! Time = 12.6226 s
Job number 507 of 512 done! Time = 12.6065 s
Job number 508 of 512 done! Time = 12.5428 s
Job number 509 of 512 done! Time = 12.5419 s
Job number 472 of 512 done! Time = 13.1085 s
Job number 484 of 512 done! Time = 13.0924 s
Job number 475 of 512 done! Time = 13.5168 s
Job number 481 of 512 done! Time = 13.2212 s
Job number 512 of 512 done! Time = 6.59018 s
Job number 487 of 512 done! Time = 13.2979 s
Job number 490 of 512 done! Time = 13.2006 s
Job number 510 of 512 done! Time = 12.4259 s
Job number 511 of 512 done! Time = 12.2314 s
Job number 498 of 512 done! Time = 12.3377 s
Job number 499 of 512 done! Time = 13.3024 s
Job number 500 of 512 done! Time = 13.0249 s
Job number 501 of 512 done! Time = 13.0854 s
Job number 502 of 512 done! Time = 12.7927 s
Job number 503 of 512 done! Time = 13.1614 s
Job number 504 of 512 done! Time = 12.9995 s
Parfor loop total time elapsed: 569.76 s, time per job: 1.11281 s
